Primary_ID,Company_Name,Homepage,Domain,Total_Fundings,Status,Country_Code,State_Code,Region,City,Funding_Rounds,First_Funding_Date,Last_Funding_Date,Pasted field 1
16,BetterCompany,http://bettercompany.co,Advertising,7700000.0,operating,USA,CA,SF Bay Area,San Francisco,2,10/4/2014,19/5/2015,
17,FourthWall Media,http://www.fourthwallmedia.tv,Advertising,25071584.0,operating,USA,TX,Dallas,Plano,2,3/8/2006,16/4/2012,
34,Convirza,https://www.convirza.com/,Advertising,29050000.0,operating,USA,UT,Salt Lake City,Draper,5,1/1/2010,11/6/2015,
62,Fraudwall Technologies,http://www.fraudwall.net,Advertising,5510000.0,operating,,,,,2,1/3/2007,1/9/2007,
67,"Gameface Media, Inc.",http://www.gamefacemedia.com,Advertising,6500000.0,operating,USA,MA,Boston,Boston,2,7/8/2014,21/7/2015,
81,iConText,http://icontext.ru/,Advertising,10000000.0,closed,RUS,48,Moscow,Moscow,1,21/8/2013,21/8/2013,
83,Impact Engine,http://www.impactengine.com,Advertising,3200000.0,operating,USA,CA,San Diego,La Jolla,1,1/7/2007,1/7/2007,
94,Latina Media Ventures LLC,,Advertising,20000000.0,operating,,,,,1,14/11/2000,14/11/2000,
115,Nippo,http://www.nippo.ie,Advertising,21189.0,closed,LVA,,,,1,5/9/2011,5/9/2011,
124,PaperShare,http://www.papershare.com,Advertising,2400000.0,acquired,USA,WA,Seattle,Kirkland,2,1/7/2011,4/9/2013,
125,PDV,http://pdvltd.com,Advertising,6220000.0,operating,GBR,F8,Watford,Watford,2,2/5/2000,5/3/2002,
133,Pudding Media,http://www.puddingmedia.com,Advertising,14500000.0,operating,USA,CA,SF Bay Area,San Francisco,3,18/5/2007,20/7/2009,
142,Rondebosch,http://rondeboschinc.com/,Advertising,,operating,USA,GA,Atlanta,Roswell,1,23/11/2014,23/11/2014,
146,SergeMD,http://www.sergemd.com/,Advertising,,operating,USA,TN,Memphis,Memphis,1,28/5/2011,28/5/2011,
151,SkyWire,http://www.skywire.com,Advertising,1673537.0,operating,USA,NV,Las Vegas,Las Vegas,1,12/3/2014,12/3/2014,
171,The Influential Network,https://influential.co,Advertising,1500000.0,operating,,,,,1,9/6/2015,9/6/2015,
183,Videscape,http://www.videscape.com/,Advertising,165000.0,operating,,,,,1,4/12/2014,4/12/2014,
184,Visual.ly,http://visual.ly,Advertising,15700000.0,operating,USA,CA,SF Bay Area,San Francisco,4,20/10/2011,5/3/2015,
187,WeGreek,http://wegreekapp.com,Advertising,,operating,USA,AR,Fayetteville,Fayetteville,1,3/9/2013,3/9/2013,
192,WP Engine,http://wpengine.com,Advertising,39200000.0,operating,USA,TX,Austin,Austin,3,15/11/2011,25/3/2015,
198,YR.MRKT,http://www.yrmrkt.com,Advertising,50000.0,operating,USA,NY,New York City,New York,1,1/1/2012,1/1/2012,
6,AlchemyAPI,http://www.alchemyapi.com,AI / Big Data,2000000.0,acquired,USA,CO,Denver,Denver,1,15/2/2013,15/2/2013,
9,ARTDEX,http://www.artdex.com,AI / Big Data,500000.0,operating,USA,NY,New York City,New City,1,30/9/2012,30/9/2012,
21,Bwareit,https://www.bwareit.com,AI / Big Data,100000.0,closed,ISR,5,Tel Aviv,Tel Aviv,1,1/9/2014,1/9/2014,
68,Geostellar,http://www.geostellar.com,AI / Big Data,18250000.0,operating,USA,VA,"Washington, D.C.",Reston,5,5/4/2011,1/10/2015,
72,Grau Data Storage,http://www.graudata.com/,AI / Big Data,8500000.0,operating,DEU,1,DEU - Other,SchwÃ¤bisch GmÃ¼nd,1,15/1/2002,15/1/2002,
92,Klink,http://www.klink.com,AI / Big Data,,operating,USA,NY,New York City,New York,1,1/1/2013,1/1/2013,
148,Signifyd,http://www.signifyd.com,AI / Big Data,11000000.0,operating,USA,CA,SF Bay Area,San Jose,3,19/12/2012,22/6/2015,
155,SOFIA,http://www.edouard-siregar-biho.squarespace.com/,AI / Big Data,500000.0,operating,,,,,1,29/7/2015,29/7/2015,
25,Cebix,http://www.cebix.com,Biotechnology,96287638.0,operating,USA,CA,San Diego,La Jolla,5,30/10/2009,13/11/2014,
36,Corvus Pharmaceuticals,http://www.corvuspharma.com/,Biotechnology,108500000.0,operating,USA,CA,SF Bay Area,Burlingame,2,1/12/2014,25/9/2015,
45,DistalMotion,http://www.distalmotion.com,Biotechnology,,operating,CHE,23,Lausanne,Lausanne,1,21/8/2013,21/8/2013,
48,Durata Therapeutics,http://www.duratatherapeutics.com,Biotechnology,70000000.0,acquired,USA,CT,Hartford,Branford,1,7/11/2013,7/11/2013,
78,Humacyte,http://humacyte.com,Biotechnology,199762373.0,operating,USA,NC,Raleigh,Morrisville,2,16/1/2015,20/10/2015,
82,ImmuneWorks,http://www.immuneworks.com,Biotechnology,735000.0,operating,USA,IN,Indianapolis,Indianapolis,3,30/10/2007,26/12/2013,
87,Ionix Medical,http://ionixmedical.com,Biotechnology,18333503.0,operating,USA,MN,Minneapolis,Maple Grove,1,20/9/2009,20/9/2009,
90,Kalyra Pharmaceuticals,http://kalyrapharma.com,Biotechnology,6000000.0,operating,USA,CA,San Diego,Escondido,1,21/8/2013,21/8/2013,
102,Marine Life Research,http://www.marineliferesearch.com,Biotechnology,3000000.0,operating,CAN,ON,Ottawa,Kingston,1,4/1/2014,4/1/2014,
106,Mira Rehab,http://www.mirarehab.com,Biotechnology,,operating,GBR,H9,London,London,4,22/1/2013,1/10/2014,
134,Quantum OPS,http://www.quantumops.com,Biotechnology,1050000.0,operating,USA,IN,Fort Wayne,Fort Wayne,1,28/6/2012,28/6/2012,
164,Syrrx,http://www.syrrx.com,Biotechnology,5100000.0,acquired,,,,,1,4/8/2000,4/8/2000,
169,The Center from Health Promotion,http://www.chpcare.com/,Biotechnology,10000000.0,operating,,,,,1,12/11/2003,12/11/2003,
180,Venus Concept,http://venusconcept.com/,Biotechnology,30000000.0,operating,CAN,ON,Toronto,Toronto,2,22/5/2014,3/11/2015,
194,Xylogenics,http://xylogenics.com,Biotechnology,525000.0,operating,USA,IN,Indianapolis,Indianapolis,2,13/5/2010,20/12/2010,
195,Xylos Corporation,http://xyloscorp.com,Biotechnology,1500000.0,closed,USA,PA,Philadelphia,Langhorne,1,20/5/2010,20/5/2010,
199,Zyraz Technology,http://www.zyraz.com,Biotechnology,15419877.0,closed,MYS,14,MYS - Other,Damansara New Village,4,1/1/2008,15/2/2013,
201,Zystor,http://www.zystor.com,Biotechnology,8500000.0,acquired,USA,WI,Milwaukee,Milwaukee,1,16/12/2004,16/12/2004,
202,Zytoprotec,http://www.zytoprotec.com,Biotechnology,2686600.0,operating,AUT,3,Vienna,Gerasdorf Bei Wien,1,29/1/2013,29/1/2013,
65,Future Vision Energy,http://www.futurevisionenergy.com/,Clean Technology,,operating,USA,TN,Nashville,Hendersonville,1,30/12/2014,30/12/2014,
95,LED Optics,http://www.ledoptics.com/,Clean Technology,,operating,USA,FL,Palm Beaches,Boca Raton,1,6/3/2013,6/3/2013,
117,Obamastove,http://www.obamastove.com/,Clean Technology,17000.0,operating,,,,,1,1/9/2014,1/9/2014,
121,OptoNova,http://www.optonova.se,Clean Technology,,operating,SWE,26,Stockholm,Solna,1,28/5/2012,28/5/2012,
37,CreditSuppliers,http://www.creditsuppliers.com,Construction,12500000.0,operating,USA,AZ,Phoenix,Scottsdale,1,20/10/2014,20/10/2014,
168,Technical Sales International,http://technicalsalesinternational.com,Construction,16132000.0,operating,USA,TX,Austin,Austin,1,24/3/2010,24/3/2010,
23,Candy Jar,http://www.candyjar.com/,E-Commerce,118000.0,operating,,,,,1,27/7/2015,27/7/2015,
30,Codelucida,http://www.codelucida.com,E-Commerce,750000.0,operating,USA,AZ,Tucson,Tucson,1,11/9/2015,11/9/2015,
